               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057001,             0.04281,            0.024611,             0.59456,             0.67651,             0.42331,             0.20822,            0.054766,            0.021656,            0.016483,            0.006436,            0.006436,            0.006436
                  38,            0.054943,            0.038655,            0.023383,             0.59456,             0.67651,             0.42331,             0.20822,            0.054766,            0.021656,            0.016483,            0.006337,            0.006337,            0.006337
                  39,            0.051452,            0.037224,            0.022717,             0.57462,             0.67296,             0.45801,             0.23217,            0.047871,            0.021328,             0.01619,            0.006238,            0.006238,            0.006238
                  40,              0.0523,            0.041829,             0.02464,             0.47276,              0.6875,             0.40072,             0.19029,            0.052385,            0.020725,            0.015689,            0.006139,            0.006139,            0.006139
                  41,            0.051864,            0.038418,            0.022685,              0.4338,                 0.5,             0.38376,              0.1673,              0.0593,            0.021099,            0.015434,             0.00604,             0.00604,             0.00604
                  42,            0.058476,            0.032589,            0.022981,              0.4338,                 0.5,             0.38376,              0.1673,              0.0593,            0.021099,            0.015434,            0.005941,            0.005941,            0.005941
                  43,            0.053909,            0.035079,            0.022061,             0.49581,             0.61099,             0.46939,             0.24798,             0.05253,              0.0215,            0.015076,            0.005842,            0.005842,            0.005842
                  44,             0.05403,            0.038421,            0.021726,             0.27001,              0.9375,             0.47527,             0.18008,            0.053467,            0.021599,            0.014597,            0.005743,            0.005743,            0.005743
                  45,            0.051884,            0.034545,            0.022683,             0.55848,             0.74027,             0.55836,             0.25568,            0.042826,            0.020061,            0.014154,            0.005644,            0.005644,            0.005644
                  46,            0.045535,            0.034154,            0.020627,             0.55848,             0.74027,             0.55836,             0.25568,            0.042826,            0.020061,            0.014154,            0.005545,            0.005545,            0.005545
                  47,            0.042482,            0.038905,            0.021564,             0.30163,              0.9375,             0.54718,             0.24457,            0.038773,            0.020271,            0.013936,            0.005446,            0.005446,            0.005446
                  48,            0.042445,            0.040482,            0.021298,              0.3812,              0.9375,             0.58664,             0.30115,            0.041481,            0.021969,            0.013708,            0.005347,            0.005347,            0.005347
                  49,            0.043747,            0.035653,            0.021284,              0.3886,              0.9375,             0.52918,             0.20142,            0.049097,            0.023102,            0.013489,            0.005248,            0.005248,            0.005248
                  50,            0.050647,            0.030797,              0.0206,              0.3886,              0.9375,             0.52918,             0.20142,            0.049097,            0.023102,            0.013489,            0.005149,            0.005149,            0.005149
                  51,            0.046014,            0.033084,            0.019719,             0.38275,             0.87242,             0.58887,              0.2324,            0.047175,             0.02293,            0.013132,             0.00505,             0.00505,             0.00505
                  52,            0.044268,            0.034131,            0.019462,             0.27191,             0.95605,             0.57196,             0.27229,            0.045499,            0.022881,            0.012706,            0.004951,            0.004951,            0.004951
                  53,            0.047594,             0.03336,            0.019592,             0.32159,             0.97304,             0.52238,             0.29396,            0.042815,            0.020386,            0.012334,            0.004852,            0.004852,            0.004852
                  54,            0.043099,            0.033401,            0.020585,             0.32159,             0.97304,             0.52238,             0.29396,            0.042815,            0.020386,            0.012334,            0.004753,            0.004753,            0.004753
                  55,            0.039391,            0.037979,            0.018411,             0.35212,             0.94938,             0.48591,             0.30971,            0.035903,            0.020382,            0.012189,            0.004654,            0.004654,            0.004654
                  56,            0.043066,            0.032229,            0.019206,             0.25584,               0.875,             0.46179,             0.24599,            0.047374,            0.021893,            0.011997,            0.004555,            0.004555,            0.004555
                  57,            0.047114,            0.032465,            0.017594,             0.39454,               0.875,             0.51287,             0.27902,            0.035764,            0.022293,            0.011812,            0.004456,            0.004456,            0.004456
                  58,            0.041652,            0.031509,            0.017787,             0.39454,               0.875,             0.51287,             0.27902,            0.035764,            0.022293,            0.011812,            0.004357,            0.004357,            0.004357
                  59,            0.039425,            0.032496,            0.018078,             0.37741,               0.875,             0.54356,             0.28803,            0.034236,            0.023449,            0.011679,            0.004258,            0.004258,            0.004258
                  60,            0.039597,            0.029689,            0.016763,              0.3184,               0.875,             0.43588,             0.22762,            0.042704,            0.023125,            0.011459,            0.004159,            0.004159,            0.004159
                  61,            0.040296,            0.029595,            0.016326,             0.37177,              0.9375,             0.49978,             0.30828,            0.031446,            0.022602,            0.011179,             0.00406,             0.00406,             0.00406
                  62,            0.036831,            0.026755,            0.017649,             0.37177,              0.9375,             0.49978,             0.30828,            0.031446,            0.022602,            0.011179,            0.003961,            0.003961,            0.003961
                  63,            0.035023,            0.032425,             0.01604,             0.38686,             0.93445,             0.46915,             0.31348,            0.030588,            0.022446,            0.011008,            0.003862,            0.003862,            0.003862
                  64,            0.036168,             0.03196,            0.016286,             0.38463,             0.90622,             0.49978,             0.28252,            0.038653,            0.022594,            0.010735,            0.003763,            0.003763,            0.003763
                  65,            0.037964,            0.031344,            0.015363,             0.36118,             0.88031,             0.52902,             0.28653,            0.034708,            0.023575,            0.010505,            0.003664,            0.003664,            0.003664
                  66,            0.036346,            0.030424,             0.01638,             0.36118,             0.88031,             0.52902,             0.28653,            0.034708,            0.023575,            0.010505,            0.003565,            0.003565,            0.003565
                  67,            0.035242,            0.029296,             0.01776,             0.40639,             0.86363,             0.56828,              0.3175,            0.034147,            0.024399,            0.010317,            0.003466,            0.003466,            0.003466
                  68,            0.038447,            0.031911,            0.016808,             0.43862,              0.9375,             0.57653,              0.3189,             0.03827,            0.023293,            0.010163,            0.003367,            0.003367,            0.003367
                  69,            0.037517,            0.028958,            0.016977,             0.41744,              0.9198,             0.55121,             0.38775,            0.030803,            0.022976,           0.0099739,            0.003268,            0.003268,            0.003268
                  70,            0.033489,            0.028573,            0.016511,             0.41744,              0.9198,             0.55121,             0.38775,            0.030803,            0.022976,           0.0099739,            0.003169,            0.003169,            0.003169
                  71,            0.032919,            0.030202,            0.015161,             0.40199,               0.875,             0.53857,             0.35858,            0.029699,            0.022377,           0.0098396,             0.00307,             0.00307,             0.00307
                  72,            0.032919,            0.033479,             0.01646,              0.4479,               0.875,             0.58242,             0.40436,            0.031158,            0.023064,           0.0097008,            0.002971,            0.002971,            0.002971
                  73,            0.034655,            0.033335,            0.015081,              0.4421,               0.875,             0.59863,             0.34098,            0.031456,            0.022762,           0.0095943,            0.002872,            0.002872,            0.002872
                  74,            0.032541,            0.028952,            0.015133,              0.4421,               0.875,             0.59863,             0.34098,            0.031456,            0.022762,           0.0095943,            0.002773,            0.002773,            0.002773
                  75,            0.034832,             0.03025,            0.015432,             0.43643,             0.87691,             0.62136,              0.3243,            0.031857,            0.022831,           0.0094616,            0.002674,            0.002674,            0.002674
                  76,            0.032135,            0.025996,            0.015353,              0.5269,              0.8125,             0.59417,             0.42965,             0.02926,            0.022995,           0.0093506,            0.002575,            0.002575,            0.002575
                  77,            0.032894,            0.027382,            0.014495,             0.57073,               0.875,             0.61868,                0.39,            0.028115,            0.022404,           0.0092026,            0.002476,            0.002476,            0.002476
                  78,            0.028942,            0.028245,             0.01458,             0.57073,               0.875,             0.61868,                0.39,            0.028115,            0.022404,           0.0092026,            0.002377,            0.002377,            0.002377
                  79,            0.029848,            0.031287,            0.015564,             0.60033,             0.86031,             0.61868,             0.40213,            0.028312,            0.022049,           0.0091404,            0.002278,            0.002278,            0.002278
                  80,            0.028522,            0.028388,            0.015194,             0.51544,              0.8125,             0.62054,             0.44051,            0.027584,             0.02158,           0.0090561,            0.002179,            0.002179,            0.002179
